timestamp,experiment_id,frame_id,motion_percent,num_rois,rois_json
2025-12-02T18:03:50.859Z,exp_1764698630859,235,61.5208,10,"[{""bbox"":[256,439,295,473]},{""bbox"":[306,274,351,314]},{""bbox"":[0,166,120,423]},{""bbox"":[367,9,413,52]},{""bbox"":[308,1,376,43]},{""bbox"":[0,0,640,480]},{""bbox"":[216,0,253,40]},{""bbox"":[0,0,258,189]},{""bbox"":[480,56,540,116]},{""bbox"":[253,251,455,453]}]"
2025-12-02T18:03:51.309Z,exp_1764698631309,240,61.249,13,"[{""bbox"":[256,432,310,480]},{""bbox"":[356,418,385,480]},{""bbox"":[301,309,401,480]},{""bbox"":[49,270,107,351]},{""bbox"":[293,263,350,308]},{""bbox"":[247,82,274,128]},{""bbox"":[96,58,162,107]},{""bbox"":[325,4,402,63]},{""bbox"":[379,0,427,36]},{""bbox"":[292,0,331,50]},{""bbox"":[210,0,300,75]},{""bbox"":[0,0,640,480]},{""bbox"":[253,251,453,451]}]"
2025-12-02T18:03:51.758Z,exp_1764698631758,245,61.3831,13,"[{""bbox"":[48,350,163,402]},{""bbox"":[264,320,408,480]},{""bbox"":[306,275,366,321]},{""bbox"":[56,273,121,321]},{""bbox"":[187,229,235,276]},{""bbox"":[283,66,336,115]},{""bbox"":[354,18,393,74]},{""bbox"":[386,8,415,60]},{""bbox"":[284,3,339,66]},{""bbox"":[0,0,640,480]},{""bbox"":[0,0,235,150]},{""bbox"":[480,56,540,116]},{""bbox"":[252,250,455,453]}]"
2025-12-02T18:03:52.350Z,exp_1764698632350,250,61.1299,13,"[{""bbox"":[112,377,157,413]},{""bbox"":[156,308,246,385]},{""bbox"":[108,303,162,327]},{""bbox"":[321,264,386,306]},{""bbox"":[164,188,203,339]},{""bbox"":[291,87,325,128]},{""bbox"":[0,0,640,480]},{""bbox"":[342,0,389,58]},{""bbox"":[276,0,343,53]},{""bbox"":[216,0,274,45]},{""bbox"":[0,0,233,158]},{""bbox"":[480,58,538,116]},{""bbox"":[251,250,458,457]}]"
2025-12-02T18:03:52.823Z,exp_1764698632823,255,60.972,15,"[{""bbox"":[349,429,389,480]},{""bbox"":[184,321,240,395]},{""bbox"":[273,319,411,480]},{""bbox"":[64,296,145,346]},{""bbox"":[314,262,379,317]},{""bbox"":[222,82,261,137]},{""bbox"":[98,59,135,107]},{""bbox"":[239,43,279,77]},{""bbox"":[363,35,419,83]},{""bbox"":[292,6,335,51]},{""bbox"":[0,0,640,480]},{""bbox"":[322,0,393,57]},{""bbox"":[0,0,246,394]},{""bbox"":[478,54,542,118]},{""bbox"":[250,249,455,454]}]"
2025-12-02T18:03:53.295Z,exp_1764698633295,260,60.4131,16,"[{""bbox"":[248,437,312,480]},{""bbox"":[288,309,409,480]},{""bbox"":[97,292,139,337]},{""bbox"":[323,247,373,299]},{""bbox"":[164,206,220,303]},{""bbox"":[0,152,99,480]},{""bbox"":[90,101,129,145]},{""bbox"":[212,75,249,127]},{""bbox"":[328,53,384,112]},{""bbox"":[344,14,398,52]},{""bbox"":[91,0,640,480]},{""bbox"":[450,0,511,33]},{""bbox"":[376,0,427,58]},{""bbox"":[0,0,291,151]},{""bbox"":[478,53,543,118]},{""bbox"":[252,250,458,456]}]"
2025-12-02T18:03:53.779Z,exp_1764698633779,265,61.0527,13,"[{""bbox"":[241,431,311,480]},{""bbox"":[112,368,155,431]},{""bbox"":[52,351,88,403]},{""bbox"":[291,334,325,367]},{""bbox"":[306,320,396,480]},{""bbox"":[200,301,252,348]},{""bbox"":[45,285,112,333]},{""bbox"":[108,98,140,157]},{""bbox"":[224,6,273,65]},{""bbox"":[339,0,400,41]},{""bbox"":[263,0,340,82]},{""bbox"":[0,0,640,480]},{""bbox"":[251,250,456,455]}]"
2025-12-02T18:03:54.251Z,exp_1764698634251,270,61.3535,14,"[{""bbox"":[256,434,309,480]},{""bbox"":[300,306,414,480]},{""bbox"":[35,276,114,352]},{""bbox"":[318,258,356,303]},{""bbox"":[160,160,206,247]},{""bbox"":[174,100,217,152]},{""bbox"":[106,29,155,93]},{""bbox"":[206,8,271,60]},{""bbox"":[68,0,640,480]},{""bbox"":[330,0,374,45]},{""bbox"":[247,0,296,75]},{""bbox"":[0,0,256,480]},{""bbox"":[481,56,541,116]},{""bbox"":[251,249,459,457]}]"
2025-12-02T18:03:54.751Z,exp_1764698634751,275,61.4727,10,"[{""bbox"":[266,437,304,480]},{""bbox"":[219,336,254,379]},{""bbox"":[185,314,227,357]},{""bbox"":[104,70,136,117]},{""bbox"":[321,31,406,74]},{""bbox"":[0,0,640,480]},{""bbox"":[306,0,380,43]},{""bbox"":[0,0,255,403]},{""bbox"":[479,53,544,118]},{""bbox"":[253,251,453,451]}]"
2025-12-02T18:03:55.239Z,exp_1764698635239,280,60.4437,16,"[{""bbox"":[271,437,308,480]},{""bbox"":[182,382,229,419]},{""bbox"":[124,377,151,421]},{""bbox"":[50,354,123,417]},{""bbox"":[224,347,263,390]},{""bbox"":[310,320,404,480]},{""bbox"":[35,283,84,316]},{""bbox"":[344,279,397,308]},{""bbox"":[304,255,359,310]},{""bbox"":[358,244,413,279]},{""bbox"":[281,56,329,97]},{""bbox"":[329,18,375,52]},{""bbox"":[0,0,640,480]},{""bbox"":[0,0,265,147]},{""bbox"":[478,52,544,118]},{""bbox"":[252,249,456,453]}]"
2025-12-02T18:03:55.715Z,exp_1764698635715,285,61.221,16,"[{""bbox"":[258,434,310,480]},{""bbox"":[127,372,162,410]},{""bbox"":[85,362,127,403]},{""bbox"":[190,299,247,345]},{""bbox"":[88,294,131,327]},{""bbox"":[274,272,350,312]},{""bbox"":[153,187,229,399]},{""bbox"":[179,114,207,171]},{""bbox"":[282,84,326,147]},{""bbox"":[262,59,313,87]},{""bbox"":[88,32,155,71]},{""bbox"":[0,0,640,480]},{""bbox"":[344,0,378,31]},{""bbox"":[0,0,315,104]},{""bbox"":[478,53,542,117]},{""bbox"":[252,251,452,451]}]"
2025-12-02T18:03:56.162Z,exp_1764698636162,290,61.3942,9,"[{""bbox"":[249,436,301,480]},{""bbox"":[166,151,201,209]},{""bbox"":[79,65,148,124]},{""bbox"":[252,62,326,110]},{""bbox"":[0,0,640,480]},{""bbox"":[287,0,397,60]},{""bbox"":[0,0,286,418]},{""bbox"":[480,55,542,117]},{""bbox"":[252,251,455,454]}]"
2025-12-02T18:03:56.619Z,exp_1764698636619,295,3.1973,5,"[{""bbox"":[322,373,373,426]},{""bbox"":[396,190,452,454]},{""bbox"":[246,164,373,427]},{""bbox"":[480,55,541,116]},{""bbox"":[248,248,447,447]}]"
2025-12-02T18:03:57.060Z,exp_1764698637060,300,5.5869,4,"[{""bbox"":[119,426,235,480]},{""bbox"":[313,379,383,480]},{""bbox"":[231,163,437,480]},{""bbox"":[234,245,432,443]}]"
2025-12-02T18:03:57.506Z,exp_1764698637505,305,2.3415,4,"[{""bbox"":[126,424,237,480]},{""bbox"":[401,188,452,455]},{""bbox"":[247,161,334,425]},{""bbox"":[248,245,443,440]}]"
2025-12-02T18:03:57.948Z,exp_1764698637948,310,40.6748,9,"[{""bbox"":[16,440,51,480]},{""bbox"":[298,314,397,480]},{""bbox"":[164,307,180,393]},{""bbox"":[0,186,47,389]},{""bbox"":[0,44,31,145]},{""bbox"":[129,25,640,480]},{""bbox"":[178,16,213,55]},{""bbox"":[0,0,201,41]},{""bbox"":[254,247,446,439]}]"
2025-12-02T18:03:58.394Z,exp_1764698638394,315,22.9727,8,"[{""bbox"":[126,422,222,480]},{""bbox"":[344,410,375,480]},{""bbox"":[516,393,539,480]},{""bbox"":[531,388,574,471]},{""bbox"":[317,374,387,480]},{""bbox"":[329,315,359,364]},{""bbox"":[225,45,640,478]},{""bbox"":[247,244,443,440]}]"
